Player,Elo,Hard Elo,Clay Elo,Grass Elo
Iga Swiatek,2200.2,2146.0,2119.7,1893.9
Ashleigh Barty,2080.7,2026.1,1936.1,1876.9
Ons Jabeur,2056.8,1975.8,1957.8,1938.4
Simona Halep,2053.2,1993.4,1943.5,1911.0
Jessica Pegula,1997.8,1946.3,1858.9,1733.0
Aryna Sabalenka,1986.7,1933.0,1895.9,1834.2
Belinda Bencic,1981.6,1934.0,1860.9,1829.5
Petra Kvitova,1973.7,1927.8,1886.3,1859.1
Caroline Garcia,1971.3,1904.1,1873.2,1818.8
Maria Sakkari,1962.4,1930.2,1880.2,1758.6
Anett Kontaveit,1958.5,1938.3,1835.9,1732.3
Liudmila Samsonova,1956.3,1925.3,1722.3,1762.6
Cori Gauff,1954.9,1882.2,1911.0,1829.7
Danielle Collins,1946.4,1927.1,1801.8,1689.4
Daria Kasatkina,1945.1,1883.5,1858.2,1782.9
Elena Rybakina,1945.0,1892.7,1826.9,1870.9
Paula Badosa,1939.1,1886.3,1888.4,1739.5
Veronika Kudermetova,1926.2,1876.7,1839.3,1765.1
Victoria Azarenka,1911.2,1866.4,1763.3,1705.6
Marie Bouzkova,1910.4,1856.7,1725.0,1742.9
Bianca Andreescu,1908.7,1874.5,1787.6,1704.5
Madison Keys,1904.1,1860.5,1801.9,1779.7
Karolina Pliskova,1888.6,1848.8,1818.0,1804.8
Jelena Ostapenko,1886.1,1842.4,1765.8,1813.3
Marketa Vondrousova,1885.5,1852.4,1736.9,1599.8
Garbine Muguruza,1883.8,1877.7,1825.6,1734.1
Elina Svitolina,1883.1,1833.3,1862.7,1709.0
Barbora Krejcikova,1870.6,1840.2,1773.2,1674.5
Beatriz Haddad Maia,1861.7,1793.7,1751.1,1776.7
Amanda Anisimova,1860.7,1777.7,1771.6,1691.2
Ajla Tomljanovic,1859.2,1799.4,1738.4,1759.9
Ekaterina Alexandrova,1858.3,1791.3,1732.7,1701.9
Qinwen Zheng,1853.3,1813.2,1784.3,1631.7
Camila Giorgi,1848.4,1796.8,1741.6,1736.7
Anna Kalinskaya,1837.4,1826.1,1623.7,1655.8
Elise Mertens,1836.3,1800.7,1798.5,1692.8
Anhelina Kalinina,1835.4,1775.7,1776.1,1636.6
Irina Camelia Begu,1834.9,1759.9,1785.0,1646.9
Shelby Rogers,1828.3,1796.9,1691.9,1663.9
Katerina Siniakova,1826.8,1774.9,1757.8,1668.0
Lesia Tsurenko,1825.3,1751.6,1738.3,1727.4
Naomi Osaka,1824.3,1801.6,1662.1,1662.1
Mayar Sherif,1821.4,1619.0,1826.7,1646.2
Emma Raducanu,1820.1,1767.2,1680.5,1662.7
Kaia Kanepi,1817.8,1787.3,1738.4,1627.7
Sloane Stephens,1813.9,1769.9,1762.3,1671.3
Petra Martic,1813.5,1740.1,1788.5,1672.3
Donna Vekic,1813.5,1781.6,1701.6,1696.5
Aliaksandra Sasnovich,1808.1,1774.7,1720.9,1621.2
Sara Sorribes Tormo,1807.4,1746.7,1758.5,1650.0
Alize Cornet,1805.1,1744.8,1704.9,1705.2
Karolina Muchova,1803.2,1753.4,1727.5,1672.3
Jasmine Paolini,1800.7,1761.3,1712.5,1511.3
Marta Kostyuk,1798.4,1751.9,1705.7,1650.2
Magda Linette,1796.5,1762.0,1673.7,1650.5
Alison Riske Amritraj,1795.1,1753.9,1626.7,1717.9
Vera Zvonareva,1792.7,1737.7,1700.4,1692.5
Clara Tauson,1792.1,1757.6,1646.0,1567.1
Yulia Putintseva,1789.4,1732.8,1748.0,1612.0
Ana Bogdan,1789.2,1713.9,1746.5,1637.9
Viktorija Golubic,1787.9,1763.3,1639.1,1664.8
Bernarda Pera,1785.3,1688.6,1784.6,1561.2
Angelique Kerber,1785.0,1735.4,1683.5,1725.8
Jil Teichmann,1784.5,1729.9,1774.4,1502.1
Sorana Cirstea,1775.6,1742.2,1689.0,1651.1
Anastasia Potapova,1772.0,1703.8,1729.4,1613.9
Jule Niemeier,1770.9,1688.5,1710.1,1687.4
Shuai Zhang,1763.5,1715.4,1641.3,1702.8
Kaja Juvan,1763.5,1685.5,1730.4,1667.8
Taylor Townsend,1763.3,1712.3,1712.7,1549.1
Leylah Fernandez,1761.3,1712.9,1656.5,1579.4
Tereza Martincova,1759.3,1720.2,1581.3,1661.2
Claire Liu,1758.3,1684.6,1721.9,1606.0
Eva Lys,1754.3,1727.6,1633.6,1486.3
Alison Van Uytvanck,1751.4,1701.7,1622.4,1694.8
Maryna Zanevska,1750.7,1687.7,1708.6,1489.3
Caty Mcnally,1750.6,1714.9,1526.8,1638.5
Andrea Petkovic,1749.5,1698.2,1692.3,1575.7
Elisabetta Cocciaretto,1747.6,1716.3,1665.0,1596.8
Daria Saville,1746.9,1745.0,1645.8,1559.7
Camila Osorio,1735.3,1694.2,1675.7,1593.4
Katie Boulter,1730.7,1667.0,1560.8,1699.8
Kirsten Flipkens,1730.0,1669.2,1610.9,1663.8
Madison Brengle,1728.7,1707.0,1637.1,1570.1
Alycia Parks,1727.7,1722.6,1521.5,1559.8
Qiang Wang,1727.1,1708.7,1634.6,1577.2
Rebecca Marino,1725.2,1693.9,1597.7,1562.0
Martina Trevisan,1725.0,1628.4,1708.4,1447.9
Lauren Davis,1721.4,1676.6,1646.2,1604.9
Ana Konjuh,1720.1,1692.1,1621.9,1663.3
Danka Kovinic,1709.4,1580.4,1698.6,1464.7
Anna Blinkova,1707.6,1669.4,1602.7,1587.5
Ann Li,1706.5,1687.7,1581.1,1519.5
Yue Yuan,1705.7,1680.5,1559.1,1519.9
Laura Siegemund,1705.0,1667.1,1659.5,1547.1
Xiyu Wang,1703.4,1667.1,1634.0,1551.3
Storm Sanders,1695.5,1662.9,1575.6,1550.1
Diana Shnaider,1694.9,1589.1,1681.3,1522.4
Kamilla Rakhimova,1692.6,1658.3,1559.1,1534.6
Harriet Dart,1690.6,1642.3,1532.1,1590.8
Panna Udvardy,1681.4,1538.7,1657.8,1524.0
Coco Vandeweghe,1678.6,1632.2,1606.2,1650.5
Linda Fruhvirtova,1676.5,1666.2,1510.1,1468.7
Rebecca Peterson,1673.8,1664.9,1597.8,1519.5
Aleksandra Krunic,1670.7,1585.8,1649.5,1596.2
Linda Noskova,1663.2,1595.7,1641.8,1506.6
Dayana Yastremska,1663.0,1627.4,1641.1,1579.4
Cristina Bucsa,1661.4,1654.8,1552.7,1540.5
Magdalena Frech,1660.3,1623.5,1604.5,1570.2
Anna Bondar,1659.6,1561.0,1655.9,1476.2
Kateryna Baindl,1658.5,1612.5,1635.2,1508.8
Xin Yu Wang,1658.1,1631.2,1546.9,1600.2
Sofia Kenin,1657.0,1612.6,1594.4,1578.5
Anna Karolina Schmiedlova,1650.5,1609.3,1617.2,1482.3
Eugenie Bouchard,1648.5,1586.1,1670.6,1555.8
Lin Zhu,1648.0,1628.1,1493.0,1427.5
Sara Bejlek,1647.9,1539.7,1614.5,1460.0
Robin Montgomery,1647.4,1624.0,1408.6,1498.7
Tatjana Maria,1644.9,1582.2,1550.3,1669.2
